query_id	passage_id	relevance
q_00105c0c288bb5609a70	p_eeaf39513c553d3496ba	1
q_002f9e602eec82495549	p_67af7b9c0f78c1377d7e	1
q_0052e51f0fdca7038bc6	p_04e3decc1d58d62b1c71	1
q_005ca4fe4ce4834b9cc5	p_e472099447c4f7fc4127	1
q_008ca5af13a4ee4b49f1	p_57951d935491a2d61385	1
q_0092c84122db4dc2d7c6	p_38ff8e6a53bac98147b5	1
q_00a5597463f195756c8f	p_b501f2c7a7c8acc9c955	1
q_00b18a481e6285d14a08	p_0d621ab4f563cd1463fb	1
q_00b573e48610154eafac	p_5006464c012bf55f291f	1
q_00f66fb7662880354180	p_e641e6ac549e9782a1e4	1
q_00ff26401425724c4a13	p_df4b2cbbcfd5214baab0	1
q_011a9c9db5f1d3ffa9cf	p_12516c460dcb1ca3a537	1
q_014b1ae584e84a9d96ff	p_8fb04468666b7039a3e5	1
q_014f32876cc487e68b7c	p_29be6a3304bb26282527	1
q_0170b4315d556eb242e0	p_9ea154bf92b125de9899	1
q_01834c61686b6a24674b	p_15fe9615ea931b848474	1
q_019985215d4eb8b73e21	p_c6c5830d235040e27ad7	1
q_01a125742fd61f13c1af	p_a9c2a80bb247f2593360	1
q_01c22f1d21662191b842	p_8cbdde491e9faea7323d	1
q_01d3b09976504869a8de	p_c2b0279c088f321bcfac	1
q_01e3bfe9ab665f165ca5	p_b68116d7a60a4736125a	1
q_01ede3628f8c47b12953	p_825b189f892c8d705ac4	1
q_0205773737d2586d6f84	p_45c80416cb142f7ccc4f	1
q_020908530c0f3ddcb21c	p_e9bcd1e234319c559f9c	1
q_020f267faf60cfbdda0e	p_31861596a798cc03fafb	1
q_021d44df818d2351ad4f	p_b7fe211e58cf4e2cb1a0	1
q_022df0d7aa3ff48a2ec5	p_c2929de6d6a0295f9a23	1
q_02362f923bbeea19b44e	p_d99eaf3469316c854779	1
q_025e53a6f1a9adbf80c8	p_9ae830e08a0e8d19e271	1
q_026ff1ee1b09fc311e1b	p_4e931199c3b7e9a261ae	1
q_0272b10a81aa6d2c515c	p_a074122c9d30bd808ec9	1
q_02817c8206b239d51587	p_7d708107d61b897ff4dc	1
q_0290609f94aa7bc77b14	p_445c0b915ac4d16f565c	1
q_02b32d59425b18685869	p_943020eb6d3c905c6507	1
q_02ca75e95309174322fc	p_764a79145ed4a05ed4c1	1
q_02cfed27c82659298b8b	p_3bc446ea5e65b50574d3	1
q_030f0cf22a8eba343e7d	p_e81efd504be9e82f2b4e	1
q_033cb8090e9c88adf6f0	p_20fd578724f6c64d88bb	1
q_03537edc07be45611adc	p_0f04bc4d2b0f0a41f037	1
q_0354e547aa1e528ee02e	p_29d49007cb9b56ff6065	1
q_0364a83841c061a555fd	p_b5d0f0a17a6849ddf556	1
q_03812f34f33d832a3279	p_e8bb2e53c67170d9807d	1
q_038e466d72ec1e23eed5	p_bb2ca143f34cb84a15d6	1
q_038f31b5c7b5cfd1dc01	p_0f6e3d0964c34ce83205	1
q_0390852aa76817d5fa45	p_c31210e9abf4839710e0	1
q_039c2c7046c7a820e079	p_e3db3313138075e3cc0f	1
q_04117d4da021003077d5	p_f128c550d4908500fb56	1
q_041f047f6e7c6d9f9411	p_1a2520c71b17e1b9a21a	1
q_042ca26aed17e0044912	p_e06f633a49870b8b766b	1
q_042d0effe40922b1c0f2	p_d212871e5a625c1b259f	1
q_0446b70d929339b673bb	p_9206c1d1023fcb73e1a3	1
q_045211ccabfe1a8be8c8	p_35df43eed5a1d96f5c74	1
q_0452a1320d8e5d1fd76e	p_a358be62723f6ab6782e	1
q_049aaf8e745074ed4604	p_7b86a10725395a8cd8a2	1
q_04c7d4fdc6cf47cd83e0	p_be0065fd533f21479176	1
q_04df5cd96679b47bfdbd	p_f703bde252c55c057ea8	1
